,time,hood,title,url,price,bedroom_count,sqft
0,2020-12-01 22:37, (inner sunset / UCSF),"LARGE studio, Hd/flrs, bay widws, walk-in-clst, lndy, includes heat",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-studio-hd-flrs-bay/7240299646.html,2200,,
1,2020-12-01 22:32, (ingleside / SFSU / CCSF),Huge bedroom available in 5 bedroom home in nice Westwood district,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-bedroom-available-in/7240298993.html,1295,1,250.0
2,2020-12-01 22:31, (tenderloin),735 O'Farrell #23 - $0 Deposit Special - 6 Week Move-In Allowance!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-735-ofarrell-deposit/7240298740.html,1795,1,
3,2020-12-01 22:30, (nob hill),691 O'Farrell #204 - $0 Deposit Special - 6 Week Move-In Allowan,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-691-ofarrell-deposit/7240298660.html,1595,,
4,2020-12-01 22:24, (marina / cow hollow),Awesome - Corner Unit!  Remodeled & Drenched in Sunlight!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-awesome-corner-unit/7240297765.html,2195,1,
5,2020-12-01 22:23, (russian hill),Postcard views! Stunning Studio - Move-in Allowance + Gift,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-postcard-views-stunning/7240295744.html,1995,,
6,2020-12-01 22:19, (inner sunset / UCSF),Master suite for rent on 2nd floor,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-master-suite-for-rent-on/7240296888.html,1450,1,
7,2020-12-01 22:16, (downtown / civic / van ness),Top Floor Remodeled Studio/795 Geary,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-remodeled/7240292223.html,1550,,
8,2020-12-01 22:16, (hayes valley),Furnished or Unfurnished | All Utilities Included | Location! | #209,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-or-unfurnished/7240295148.html,995,,
9,2020-12-01 22:09, (hayes valley),Fully Remodeled Hayes Valley Studio (Free Comcast),https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fully-remodeled-hayes/7240295355.html,1550,,
10,2020-12-01 22:07, (nob hill),Nob Hill Apartment offers spacious bedroom mins to Fisherman's Wharf,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-apartment-offers/7240294934.html,1980,1,890.0
11,2020-12-01 22:02, (lower nob hill),Remodeled One Bedroom Apartment/745 Hyde,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-one-bedroom/7240288759.html,1795,1,
12,2020-12-01 22:01, (inner richmond),Spacious apartment minutes to USF and SF FiDi,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-apartment/7240293927.html,2080,1,650.0
13,2020-12-01 21:56, (alamo square / nopa),"Reduced Price! TOP FLOOR, Renovated!! Laundry, Parking Available!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-reduced-price-top-floor/7237077022.html,2075,1,650.0
14,2020-12-01 21:56, (western addition),"Bright TOP FLOOR, Recently Renovated! Hardwood Floors! Parking Avlble",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-top-floor-recently/7237076095.html,2145,1,650.0
15,2020-12-01 21:54, (mission district),DECEMBER IS ABSOLUTELY FREE. EFFECTIVE RENT $1625 UTILITIES PAID.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-december-is-absolutely/7232665819.html,1625,,253.0
16,2020-12-01 21:49, (SOMA / south beach),Howard / 7th one bedroom.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-howard-7th-one-bedroom/7240290148.html,1850,1,650.0
17,2020-12-01 21:49, (SOMA / south beach),Howard / 7th one bedroom.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-howard-7th-one-bedroom/7240290062.html,1850,1,650.0
18,2020-12-01 21:41, (SOMA / south beach),Howard / 7th one bedroom.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-howard-7th-one-bedroom/7240290231.html,1850,1,650.0
